CASEID,Y1,YY1,OCCAT1,OCCAT2,INDCAT,LF,HOUSECL,EDCL,EDUC,AGECL,LIFECL,FAMSTRUCT,KIDS,MARRIED,EXPENSHILO,WSAVED,SAVRES1,SAVRES2,SAVRES3,SAVRES4,SAVRES5,SAVRES6,SAVRES7,SAVRES8,SAVRES9,ASSET,FIN,NFIN,LIQ,CHECKING,SAVING,MMA,CDS,STOCKS,EQUITY,DEQ,BOND,GOVTBND,OBND,MORTBND,RETQLIQ,RETEQ,IRAKH,YESFINRISK,NOFINRISK
175741,61891,6189,1,2,2,1,1,3,9,1,3,4,1,1,1,2,0,0,1,0,0,0,0,0,0,139680.0022,10700.00202,128980.0001,10700.00202,2700.002117,7999.999906,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175746,61901,6190,1,1,2,1,1,4,13,5,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,933679.9987,531780.0004,401900.0019,32589.99965,32589.99965,0,0,0,0,166173.9983,0,0,0,0,0,497259.9994,166173.9983,59860.00022,0,0
175751,61911,6191,1,3,2,1,1,1,3,4,5,5,0,1,1,2,0,0,0,0,1,0,0,0,0,228218.0003,97037.99954,131180.0026,37.99774457,37.99774457,0,0,0,0,23069.99949,0,0,0,0,0,67000.0008,23069.99949,0,1,0
175756,61921,6192,3,4,4,0,1,4,12,4,6,5,0,1,3,3,0,0,0,0,0,1,0,0,0,1107143.998,923343.9988,183799.9994,35143.99996,12303.999,0,22840.00095,799999.9996,0,0,0,0,0,0,0,88199.99919,0,88199.99919,0,1
175761,61931,6193,2,1,1,1,1,3,11,4,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,11652000,2113000.003,9539000,3000.003357,3000.003357,0,0,900000.003,0,3000.003357,0,900000.003,0,0,0,300000.001,3000.003357,300000.001,1,0
175766,61941,6194,3,4,4,0,1,2,8,3,1,2,0,2,1,1,0,0,0,0,0,1,0,0,0,101619.9992,1899.995793,99720.00159,1499.997155,1499.997155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175776,61961,6196,2,1,2,1,1,4,12,3,3,4,1,1,2,1,0,0,0,0,0,1,0,0,0,1385899.999,471499.9984,914400.0028,5500.001632,4999.996549,499.996036,0,0,0,417999.9992,0,0,0,0,0,255999.997,255999.997,199999.9976,0,0
175781,61971,6197,1,2,2,1,2,3,9,2,4,1,1,2,3,1,0,0,0,0,0,0,1,0,0,16250.00145,4449.99729,11800.00416,450.0018607,450.0018607,0,0,0,0,1480.001294,0,0,0,0,0,4000.004477,1480.001294,0,1,0
175791,61991,6199,2,1,2,1,1,4,14,4,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,23322400,8175000.002,15147400,214999.9963,0,0,14999.99869,600000.002,699999.9963,2242000.003,2200000.001,999999.9973,0,0,0,119999.9986,42000.00177,119999.9986,0,0
175796,62001,6200,1,2,2,1,2,4,12,1,3,4,2,1,1,3,0,0,0,0,0,0,0,1,0,15474.00065,4474.001008,11000.00326,1874.001717,814.0021595,0,1059.999558,0,2600.0011,2600.0011,2600.0011,0,0,0,0,0,0,0,0,0
175801,62011,6201,2,1,2,1,1,4,12,3,3,4,6,1,1,1,0,0,1,0,0,0,0,0,0,1552340,74099.99879,1478239.999,8200.003749,6900.001389,1300.00236,0,0,0,21300.00303,0,0,0,0,0,21300.00303,21300.00303,21300.00303,0,0
175811,62031,6203,1,1,2,1,1,4,13,2,2,5,0,1,3,3,0,0,0,0,0,0,1,0,0,664199.9997,200999.9988,463200.0027,17000.00093,3000.003357,3000.003357,11000.00326,0,25000.00084,68499.99976,25000.00084,0,0,0,0,149000.0003,43499.99892,130000.0007,0,0
175816,62041,6204,3,4,4,0,1,2,6,4,6,5,0,1,3,2,0,0,0,0,0,1,0,0,0,244629.9988,3190.001127,241439.9977,809.9997304,809.9997304,0,0,0,0,939.9990616,0,0,0,0,0,2179.999364,939.9990616,0,0,1
175826,62061,6206,2,1,2,1,1,4,14,4,5,5,0,1,1,3,0,0,0,0,0,0,1,0,0,8905999.997,4126000.004,4780000.003,1079999.996,100000.0033,0,980000.002,400000.0043,2000000.004,2073000.004,2000000.004,0,0,0,0,539999.9982,20000.00429,39999.99953,0,0
175831,62071,6207,1,2,2,1,2,4,12,1,1,2,0,2,2,3,0,0,0,1,0,0,0,0,0,29600.00056,29600.00056,0,24899.9962,23399.99905,1499.997155,0,0,0,4700.004355,0,0,0,0,0,4700.004355,4700.004355,4700.004355,0,0
175841,62091,6209,1,2,2,1,2,4,13,2,3,4,3,1,3,3,0,0,1,0,0,0,0,0,0,349316.0017,18516.00056,330799.9993,6515.999801,4999.996549,1516.001443,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175846,62101,6210,1,1,1,1,1,4,14,2,3,4,3,1,1,3,0,0,0,0,0,1,0,0,0,609320.0001,395319.9995,214000.0043,104779.9984,8340.000105,799.9972765,95639.99919,1499.997155,35999.99867,92836.00087,35999.99867,0,0,0,0,253039.9998,56835.99858,63039.9989,0,0
175851,62111,6211,2,1,2,1,1,4,12,4,5,5,0,1,2,1,0,0,0,0,0,0,1,0,0,23350000,6244999.999,17105000,235000.0006,0,0,235000.0006,0,1049000,4505599.999,4505599.999,0,0,0,0,0,0,0,0,0
175861,62131,6213,1,1,2,1,1,4,12,4,5,5,0,1,1,1,0,0,0,0,0,1,0,0,0,314959.9989,2499.998274,312460.0006,2499.998274,2499.998274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175866,62141,6214,1,1,1,1,1,3,9,2,3,4,3,1,1,2,0,1,0,0,0,0,0,0,0,240000.0026,28800.00147,211200.0011,5299.997789,0,2300.003479,3000.003357,0,0,7999.999906,0,0,0,0,0,12000.00438,5999.997668,0,0,0
175876,62161,6216,1,2,2,1,1,3,9,1,3,4,1,1,3,3,0,0,1,0,0,0,0,0,0,89309.99654,12950.00228,76359.99969,8900.003627,2400.000876,6500.002751,0,0,4000.004477,4033.999792,4000.004477,0,0,0,0,50.00322244,34.00255314,0,0,0
175881,62171,6217,2,1,2,1,1,4,13,5,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,518417059.9,446231459.9,72185599.99,9459.999911,9459.999911,0,0,0,399999999.9,436342000,399999999.9,0,0,0,0,36341999.99,36341999.99,36341999.99,0,0
175886,62191,6219,1,3,2,1,1,2,8,2,3,4,2,1,3,3,0,0,1,0,0,0,0,0,0,188939.9996,65840.00022,123099.9975,7839.998641,1879.998123,5960.002327,0,0,0,15679.99909,0,0,0,0,0,55999.99934,15679.99909,0,0,0
175891,62201,6220,2,1,2,1,1,4,13,3,3,4,2,1,3,3,0,1,0,0,0,0,0,0,0,3386120.001,1009720.001,2376399.998,140000.0029,20000.00429,119999.9986,0,0,199999.9976,940300.0001,199999.9976,0,0,0,0,655999.9995,620300.0003,238000.0022,0,0
175896,62211,6221,2,1.75,1.5,1,1,3,9,2,3,4,1,1,2,3,0,0,0,0,0,0,1,0,0,171765,3115.000817,168649.9992,3115.000817,3115.000817,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175901,62221,6222,3,4,4,0,1,4,12,6,6,3,0,2,3,3,1,0,0,0,0,0,0,0,0,2941480,2733000.001,208479.9995,102999.9977,2499.998274,4500.000513,95999.99887,0,2500000.002,2630000.003,2630000.003,0,0,0,0,0,0,0,0,0
175906,62231,6223,3,4,4,0,1,2,8,2,4,1,2,2,3,2,0,0,0,1,0,0,0,0,0,255399.9999,6200.00151,249200.0002,4000.004477,4000.004477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175911,62241,6224,2,2,2,1,1,4,12,5,5,3,0,2,3,3,0,0,0,0,0,1,0,0,0,8813000.002,2584999.998,6228000.004,134999.9973,4999.996549,29999.99739,100000.0033,199999.9976,0,875000.0022,0,0,0,0,0,2250000.003,875000.0022,249999.9993,0,0
175916,62251,6225,3,4,4,0,1,4,12,3,3,4,2,1,3,3,0,0,0,0,0,0,1,0,0,10406600,7019800,3386799.998,239799.9988,0,163800.0006,75999.9982,0,999999.9973,5885900,5804000,0,0,0,0,0,0,0,0,0
175921,62261,6226,2,1,2,1,1,4,12,4,5,5,0,1,3,2,0,0,0,0,0,0,1,0,0,154385.9996,4235.999421,150149.9966,736.0000275,705.9999035,30.00012404,0,0,0,1750.00422,0,0,0,0,0,3499.999393,1750.00422,3499.999393,1,0
175931,62281,6228,1,3,2,1,1,3,11,2,3,4,2,1,3,3,0,0,0,0,0,1,0,0,0,157390,40990,116400.0036,6029.997792,2000.002238,4029.995553,0,0,0,27357.00274,0,0,0,0,0,34959.99859,23356.99827,9000.001025,0,0
175936,62291,6229,2,1,2,1,1,4,14,4,5,1,2,2,3,3,0,0,0,0,0,1,0,0,0,2625561.999,2043361.998,582200.0002,230362.0014,31299.99975,3392.000756,183670.0001,103999.9988,39999.99953,870899.9985,45999.9972,0,0,0,0,1178999.999,719099.9969,189000.0034,0,0
175946,62311,6231,3,4,4,0,1,2,8,6,6,5,0,1,1,2,0,0,0,0,0,0,1,0,0,267960.0024,43800.00016,224160.0022,12800.00166,4500.000513,8300.001146,0,20000.00429,0,0,0,0,0,0,0,0,0,0,0,1
175951,62321,6232,1,1,2,1,1,4,13,3,3,4,1,1,3,3,0,0,0,0,0,0,1,0,0,1231599.998,658700.0035,572900.0033,8699.999785,6299.998908,2400.000876,0,0,0,455000.0026,0,0,0,0,0,650000.0037,455000.0026,0,0,0
175956,62331,6233,2,1,2,1,1,4,14,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,7363460.001,5035400.001,2328060,7999.999906,7999.999906,0,0,0,0,2719999.995,1299999.998,0,0,0,0,1360000.002,1180000,959999.9978,0,0
175961,62341,6234,1,3,2,1,2,2,8,2,2,5,0,1,3,2,0,0,0,0,0,0,1,0,0,10659.99944,3359.999418,7300.000027,3359.999418,3359.999418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175966,62351,6235,3,4,4,0,1,4,12,6,6,5,0,1,3,3,0,0,0,0,1,0,0,0,0,376643.9994,128624.0029,248020.0002,28500.00023,8499.995942,20000.00429,0,100000.0033,0,0,0,0,0,0,0,0,0,0,0,1
175976,62381,6238,1,3,2,1,2,2,8,2,1,2,0,2,3,1,0,0,0,0,0,1,0,0,0,90061.99905,69062.00088,20999.99636,61.99965322,61.99965322,0,0,0,0,67200.00102,0,0,0,0,0,68999.99941,67200.00102,0,0,0
175981,62391,6239,1,1,2,1,1,4,12,1,3,4,2,1,3,2,0,0,0,0,0,0,1,0,0,235380.0016,36999.99617,198380,23999.99972,4000.004477,20000.00429,0,0,0,6999.998787,1000.001119,0,0,0,0,12000.00438,5999.997668,12000.00438,0,1
175991,62411,6241,1,3,2,1,2,4,12,4,5,4,1,1,3,3,0,0,0,0,0,0,1,0,0,15268.0004,5468.002102,9799.998302,1067.998988,718.0017625,350.0044629,0,0,3599.996791,3736.001576,3599.996791,0,0,0,0,799.9972765,136.0011655,0,0,0
175996,62421,6242,3,4,4,0,1,2,8,6,6,3,0,2,3,2,0,0,0,0,1,0,0,0,0,193182.0008,102042.0003,91139.99868,2042.000603,1691.997949,350.0044629,0,0,0,40000.00134,0,0,0,0,0,0,0,0,0,1
176001,62431,6243,2,1,2,1,1,4,14,2,2,5,0,1,3,3,0,0,0,0,0,1,0,0,0,20038220,2950400.001,17087820,350599.9979,261400.0012,89199.9985,0,0,456000.0001,1548600,1548600,0,0,0,0,0,0,0,0,0
176006,62441,6244,1,1,2,1,1,4,12,4,5,3,0,2,1,2,0,0,0,0,0,1,0,0,0,481110.0026,295210.0035,185899.9991,121910.0005,121910.0005,0,0,0,0,66184.99622,0,0,0,0,0,123700.0018,66184.99622,23699.99848,0,0
176011,62451,6245,1,1,2,1,2,4,12,2,4,1,2,2,3,3,0,1,0,0,0,0,0,0,0,28679.99736,23960.00076,4720.003835,3959.99828,3959.99828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176016,62461,6246,1,3,1,1,2,4,12,1,1,2,0,2,3,3,0,0,0,0,0,0,1,0,0,15999.99981,15999.99981,0,15999.99981,1000.001119,14999.99869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176031,62491,6249,3,4,4,0,1,2,8,6,6,5,0,1,1.8,3,0,0,0,0,0,0,1,0,0,874719.9986,364800.0011,509919.9974,200800.0004,76200.00023,60199.99861,64400.0015,0,154000.0005,154000.0005,154000.0005,0,0,0,0,0,0,0,0,1
176036,62501,6250,1,3,1,1,1,1,6,2,3,4,1,1,3,2,0,0,0,0,0,1,0,0,0,162629.9993,46469.99854,116159.999,450.0000513,450.0000513,0,0,0,0,18020.00153,0,0,0,0,0,8820.00209,8820.00209,0,0,0
176046,62521,6252,2,1,2,1,1,4,14,3,1,2,0,2,3,3,0,0,0,0,0,1,0,0,0,9572400.001,3832000,5740400.001,214999.9963,10000.00214,0,130000.0007,0,300000.001,2145499.999,2000000.004,0,0,0,0,1030000.004,145499.9955,170000.0003,0,0
176051,62531,6253,1,2,2,1,2,3,9,1,1,2,0,2,2,2,0,0,0,0,1,0,0,0,0,7473.998937,4574.000215,2899.996913,2599.995672,2599.995672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176056,62541,6254,1,2,2,1,1,2,8,3,1,2,0,2,3,3,0,0,0,0,0,0,1,0,0,149285.9985,46665.99814,102620.0003,1795.997776,246.0028266,1550.000378,0,0,30799.99828,35528.99853,30799.99828,0,0,0,0,11219.99935,4729.000253,0,0,1
