period_id,requested_start,requested_end,price_start,price_end,risk_label,sample_size,portfolio,sharpe_ratio,excess_sharpe_vs_benchmark,annualized_return,annualized_volatility,cumulative_return,num_return_days,num_test_users,user_sharpe_hit_rate_vs_benchmark,user_sharpe_mean,user_sharpe_median,mean_weight_cash,mean_weight_bond,mean_weight_pension,mean_weight_equity
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,1,20,supcon_final_proxy_etf,2.1324716863508737,1.340507199346317,0.06528713529968533,0.029870297967824234,0.14974384390095397,556,20.0,1.0,2.652009306827202,1.9391704065771518,0.5956064462661743,0.004319655708968639,0.3687230050563812,0.031350888311862946
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,1,20,benchmark_etf,0.7919644870045569,0.0,0.14222321564677864,0.1911129479279627,0.3409693002960861,556,,,,,0.0,0.0,0.0,1.0
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,2,20,supcon_final_proxy_etf,1.7394047121588236,0.9474402251542667,0.07937842672662732,0.04448926487231721,0.1835669815625327,556,20.0,1.0,1.8477620044728897,1.6731948369478173,0.4357112944126129,0.006520339287817478,0.46531957387924194,0.09244875609874725
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,2,20,benchmark_etf,0.7919644870045569,0.0,0.14222321564677864,0.1911129479279627,0.3409693002960861,556,,,,,0.0,0.0,0.0,1.0
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,3,20,supcon_final_proxy_etf,1.7065203718747768,0.9145558848702199,0.08009842822128999,0.04577134080702712,0.1853095966379903,556,20.0,1.0,1.8851482449377979,1.6264902118589442,0.4381345808506012,0.00692758709192276,0.4435657560825348,0.11137206852436066
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,3,20,benchmark_etf,0.7919644870045569,0.0,0.14222321564677864,0.1911129479279627,0.3409693002960861,556,,,,,0.0,0.0,0.0,1.0
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,4,20,supcon_final_proxy_etf,1.762304633996047,0.9703401469914902,0.07807030646105462,0.04319059332858513,0.18040453297841497,556,20.0,1.0,1.8156107178484233,1.6606028890619817,0.4536634087562561,0.006233370862901211,0.4490532875061035,0.09104994684457779
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,4,20,benchmark_etf,0.7919644870045569,0.0,0.14222321564677864,0.1911129479279627,0.3409693002960861,556,,,,,0.0,0.0,0.0,1.0
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,5,20,supcon_final_proxy_etf,1.8045790047034251,1.0126145176988683,0.07639065617827945,0.04126960808298881,0.1763506741216414,556,20.0,1.0,1.910632190010905,1.7507326973352229,0.47023138403892517,0.004806251730769873,0.4464346468448639,0.07852774858474731
1,2023-03-29,2025-07-12,2023-03-30,2025-07-11,5,20,benchmark_etf,0.7919644870045569,0.0,0.14222321564677864,0.1911129479279627,0.3409693002960861,556,,,,,0.0,0.0,0.0,1.0
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,1,20,supcon_final_proxy_etf,1.952090214112281,1.3554393578001973,0.06037078982370714,0.03026631154262005,0.13305049544888536,537,20.0,1.0,2.4674549327565107,1.7705626127928866,0.5956064462661743,0.004319655708968639,0.3687230050563812,0.031350888311862946
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,1,20,benchmark_etf,0.5966508563120836,0.0,0.10102120831066119,0.1925290340157254,0.22762186115213967,537,,,,,0.0,0.0,0.0,1.0
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,2,20,supcon_final_proxy_etf,1.5446645165904822,0.9480136602783986,0.0709882032731528,0.045061245509135886,0.15736341543653953,537,20.0,1.0,1.66178705297706,1.4698770763389089,0.4357112944126129,0.006520339287817478,0.46531957387924194,0.09244875609874725
2,2023-04-19,2025-07-07,2023-04-20,2025-07-07,2,20,benchmark_etf,0.5966508563120836,0.0,0.10102120831066119,0.1925290340157254,0.22762186115213967,537,,,,,0.0,0.0,0.0,1.0
