CASEID,Y1,YY1,OCCAT1,OCCAT2,INDCAT,LF,HOUSECL,EDCL,EDUC,AGECL,LIFECL,FAMSTRUCT,KIDS,MARRIED,EXPENSHILO,WSAVED,SAVRES1,SAVRES2,SAVRES3,SAVRES4,SAVRES5,SAVRES6,SAVRES7,SAVRES8,SAVRES9,ASSET,FIN,NFIN,LIQ,CHECKING,SAVING,MMA,CDS,STOCKS,EQUITY,DEQ,BOND,GOVTBND,OBND,MORTBND,RETQLIQ,RETEQ,IRAKH,YESFINRISK,NOFINRISK,RISK_RATIO,RISK_RATIO_EXT,RISK_LABEL,RISK_LABEL_EXT,RISK_LABEL_NAME
145156,11,1,1,2,2,1,1,3,9,6,5,5,0,1,3,3,0,0,1,0,0,0,0,0,0,282073.9986,164874.0014,117200.0027,14274.00112,1729.999312,12544,0,0,0,120739.9992,113400.0021,0,0,0,0,37200.00001,7340.000796,37200.00001,0,1,73.23167887,77.68356379,5,5,Very Aggressive
145161,21,2,4,4,4,0,1,4,12,4,6,3,0,2,3,2,0,0,0,0,0,0,1,0,0,221499.9991,57499.9965,164000.0026,32499.99566,1000.001119,29999.99739,1499.997155,0,0,20000.00429,0,0,0,0,0,20000.00429,20000.00429,20000.00429,0,1,34.78261827,69.56523655,3,4,Moderate
145166,31,3,3,4,4,0,1,1,4,6,6,3,0,2,1,3,0,0,0,0,0,1,0,0,0,106560.0009,4039.999817,102520.0011,4039.999817,4039.999817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Very Conservative
145171,41,4,4,4,4,1,1,3,9,4,5,5,0,1,1,2,0,0,0,0,0,0,1,0,0,204937.9982,65137.99913,139799.999,4938.000514,1739.999957,3198.000557,0,0,0,0,0,0,0,0,0,60200.00223,0,60200.00223,0,1,0,0,1,1,Very Conservative
145176,51,5,1,2,2,1,1,3,9,3,2,5,0,1,3,3,0,0,0,0,0,0,1,0,0,229123.9986,48424.0036,180700.0023,423.9969281,323.9977208,99.99739779,0,0,0,12960.00111,0,0,0,0,0,47999.99944,12960.00111,0,0,1,26.76358861,53.52717723,2,4,Conservative
145186,71,7,3,4,4,0,1,4,13,5,6,4,1,1,1,1,0,0,0,0,0,1,0,0,0,2791142,413201.9986,2377940.001,7402.000449,6697.999951,704.0004984,0,0,0,342600.0016,0,0,0,0,0,342600.0016,342600.0016,342600.0016,1,0,82.91344252,100,5,5,Very Aggressive
145191,81,8,4,4,4,0,2,2,8,3,2,5,0,1,1,1,0,0,0,0,1,0,0,0,0,485146,476966.0011,8180.00246,1265.999806,666.0009444,600.0024809,0,0,0,209999.9998,0,0,0,0,0,350000.0027,209999.9998,0,0,0,44.02829537,88.05659074,3,5,Moderate
145196,91,9,1,1,2,1,1,4,12,2,3,4,2,1,3,3,0,0,0,0,0,1,0,0,0,333379.9991,118779.9996,214599.9995,18779.99985,3780.001154,15000.0005,0,0,0,59999.99839,0,0,0,0,0,100000.0015,59999.99839,0,0,1,50.5135533,100,4,5,Aggressive
145201,101,10,3,4,4,0,1,4,12,5,6,3,0,2,3,3,0,0,0,0,0,0,1,0,0,551850.0001,447870.0008,103979.9993,22999.9986,3000.003357,0,20000.00429,18000.00205,0,20160.00012,0,0,0,0,0,71999.99915,20160.00012,71999.99915,0,0,4.501306202,9.002612404,1,1,Very Conservative
145206,111,11,1,1,2,1,1,4,14,5,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,773999.9995,378180.0004,395820.0009,78680.00084,28679.99917,0,50000.00167,50000.00167,0,96350.00152,0,0,0,0,0,239999.9972,96350.00152,39999.99953,0,0,25.47728633,50.95457265,2,4,Conservative
145216,131,13,3,4,4,0,1,4,12,4,6,3,0,2,3,2,0,0,0,0,0,0,1,0,0,177721.9996,3522.001897,174199.9959,3522.001897,3499.999393,22.00250352,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Very Conservative
145221,141,14,1,1,2,1,2,4,12,3,4,1,2,2,3,2,0,0,0,0,0,1,0,0,0,68339.9985,60620.00035,7719.998145,600.0024809,300.0012404,300.0012404,0,0,0,39477.99918,0,0,0,0,0,60019.99787,39477.99918,6999.998787,0,1,65.12371982,100,4,5,Aggressive
145226,151,15,1,2,2,1,2,4,12,3,1,2,0,2,3,2,0,0,0,0,0,1,0,0,0,5500.001632,1799.998396,3700.003236,1799.998396,1799.998396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Very Conservative
145231,161,16,3,4,4,0,1,4,12,6,6,4,1,1,3,3,1,0,0,0,0,0,0,0,0,27513800,20950000,6563799.999,50000.00167,0,0,50000.00167,400000.0043,10000000,12350000,11650000,1200000.004,0,699999.9963,0,0,0,0,0,0,58.94988067,58.94988067,4,4,Aggressive
145236,171,17,3,4,4,0,1,2,8,6,6,3,0,2,3,2,1,0,0,0,0,0,0,0,0,87660.00058,37660.00071,50000.00167,3159.999194,3159.999194,0,0,32800.00052,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Very Conservative
145246,191,19,1,2,2,1,1,3,9,4,5,4,1,1,1,2,0,0,0,0,0,1,0,0,0,1111620,500499.9983,611120.0003,87699.99953,27900.00137,59800.00178,0,0,0,174560.001,0,0,0,0,0,412800.0006,174560.001,372800.001,0,0,34.8771232,69.7542464,3,4,Moderate
145251,201,20,1,1,2,1,1,4,14,4,5,5,0,1,3,3,0,0,0,0,0,1,0,0,0,3815999.999,2228999.998,1587000.001,74000.00139,4999.996549,0,68999.9958,0,100000.0033,903999.9984,228000.0018,0,0,0,0,1564999.996,626000.0039,104999.9999,0,0,40.55630325,68.64064621,3,4,Moderate
145276,251,25,1,1,1,1,1,4,13,2,1,2,0,2,1,1,0,0,0,0,0,0,1,0,0,148099.9984,41099.99624,107000.0021,2000.002238,1000.001119,0,1000.001119,0,0,32704.99892,0,0,0,0,0,39100.00305,32704.99892,9499.997061,0,0,79.5742139,100,5,5,Very Aggressive
145286,271,27,1,3,1,1,1,1,3,3,3,4,1,1,2,3,0,0,0,0,0,1,0,0,0,62140.0006,4100.001874,58039.99873,2499.998274,2499.998274,0,0,0,0,0,0,1600.0036,0,0,0,0,0,0,0,1,0,0,1,1,Very Conservative
145291,281,28,2,1,2,1,1,4,14,6,5,5,0,1,3,3,0,0,0,0,0,0,1,0,0,53077399.99,30515000,22562400,610000.0041,0,0,610000.0041,79999.99906,4999999.995,12321999.99,10000000,14700000,3699999.999,0,0,4499999.997,2250000.003,4499999.997,0,1,40.3801409,47.75356382,3,3,Moderate
