CASEID,predicted_risk_level_model,predicted_risk_level_allocation,risk_level_used_for_recommendation,predicted_risky_share,aux_risk_label,aux_allocation_mae,rescaled_overlap_flag,coverage_before_rescale,coverage_after_rescale,top_ranked_product_id,top_ranked_product_name,top_basket_product_id,top_basket_weight,pred_cash,aux_cash,pred_bond,aux_bond,pred_pension,aux_pension,pred_equity,aux_equity
145261,2,0,2,0.43794360756874084,2,0.1527232974767685,True,1.0000000515292107,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.30541566014289856,0.30750784277915955,0.08361974358558655,0.0019298667320981622,0.0,0.6109336614608765,0.9163802862167358,0.079628586769104,0.0
145311,2,1,2,0.5166586637496948,2,0.15497203171253204,False,0.48819608874771186,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.34574010968208313,0.31882935762405396,0.5183831453323364,0.007962916046380997,0.025800904259085655,0.3357449471950531,0.025800904259085655,0.33746275305747986,0.43001505732536316
145316,0,0,0,0.07762277126312256,0,0.05761157348752022,False,0.9999909530101235,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3326093852519989,0.8847768902778625,1.0,0.010396252386271954,0.0,0.09517683833837509,0.0,0.009650099091231823,0.0
145391,2,1,2,0.5016226172447205,4,0.24212458729743958,True,1.0000000000166867,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.24594904482364655,0.4621829390525818,0.027175208553671837,0.0037464722990989685,0.0,0.20783108472824097,0.16233611106872559,0.3262394964694977,0.8104887008666992
145406,2,1,2,0.42205968499183655,0,0.24048128724098206,False,0.9684293266735287,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.27368754148483276,0.4874667525291443,0.9684293270111084,0.019223134964704514,0.0,0.30099180340766907,0.0315706729888916,0.19231835007667542,0.0
