CASEID,predicted_risk_level_model,predicted_risk_level_allocation,risk_level_used_for_recommendation,predicted_risky_share,aux_risk_label,aux_allocation_mae,rescaled_overlap_flag,coverage_before_rescale,coverage_after_rescale,top_ranked_product_id,top_ranked_product_name,top_basket_product_id,top_basket_weight,basket_asset_diversification,basket_category_diversification,basket_subtype_diversification,basket_overall_diversification,pred_cash,aux_cash,pred_bond,aux_bond,pred_pension,aux_pension,pred_equity,aux_equity
145261,2,0,2,0.4343818128108978,2,0.09649636596441269,True,1.0000000515292107,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2660776972770691,0.5408257720470958,0.5070241612941523,0.5070241612941523,0.5205448055953297,0.26603052020072937,0.08361974358558655,0.0001772141404217109,0.0,0.7233875393867493,0.9163802862167358,0.010404721833765507,0.0
145311,2,1,2,0.48148584365844727,2,0.19874149560928345,False,0.48819608874771186,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3780553638935089,0.8527768399376884,0.7963863711861942,0.7994782874415829,0.8207977084400251,0.3780553638935089,0.5183831453323364,0.002921836916357279,0.025800904259085655,0.4232839047908783,0.025800904259085655,0.19573891162872314,0.43001505732536316
145316,0,0,0,0.03978024050593376,0,0.0009821504354476929,False,0.9999909530101235,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3381570053998644,0.005227360922836895,0.8349074213527974,0.8349074213527974,0.5030353971808131,0.998035728931427,1.0,2.3770506629716692e-07,0.0,0.001951583893969655,0.0,1.2509237421909347e-05,0.0
145391,2,1,2,0.49885180592536926,4,0.2306886613368988,True,1.0000000000166867,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.23666437100376925,0.8367820569684253,0.9192363720321801,0.9197905069875834,0.8865871269799201,0.4653550386428833,0.027175208553671837,0.001202477142214775,0.0,0.18433113396167755,0.16233611106872559,0.3491113483905792,0.8104887008666992
145406,1,1,1,0.32913148403167725,0,0.14847445487976074,False,0.9684293266735287,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2287192850078803,0.6585338067773766,0.9944246761369369,0.9944246761369369,0.8600683283931128,0.6714804768562317,0.9684293270111084,0.0017900295788422227,0.0,0.16706372797489166,0.0315706729888916,0.15966585278511047,0.0
145566,0,0,0,0.13957388699054718,0,0.16882197558879852,False,0.8568023807888098,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.27180763322176915,0.4256249617619388,0.9331787589170318,0.9331787589170318,0.7301572400549947,0.8006480932235718,0.46300703287124634,2.49879030889133e-06,0.0,0.1993490606546402,0.5369929671287537,4.0305397419615474e-07,0.0
145636,1,0,1,0.18582390248775482,0,0.0939093753695488,False,1.0,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.2761650609079034,0.4044322598750713,0.930714481744653,0.930714481744653,0.7202015929968203,0.812181293964386,1.0,0.0002837200590875,0.0,0.18608877062797546,0.0,0.0014463135739788413,0.0
145691,1,0,1,0.16466432809829712,0,0.3945345878601074,False,0.9999996581096902,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.28502893360138515,0.3585010969548345,0.9239689394083711,0.9239689394083711,0.6977818024269564,0.8390775918960571,0.05104024335741997,0.00012037790293106809,0.0,0.15989060699939728,0.9489597678184509,0.0009114439017139375,0.0
145886,1,0,1,0.28905919194221497,4,0.27255260944366455,False,0.9999999800136948,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3628758192062378,0.6210774737428079,0.5822601316338823,0.5822601316338823,0.5977870684774526,0.36276063323020935,0.07093947380781174,0.0003174800076521933,0.0,0.6342320442199707,0.38126540184020996,0.0026898798532783985,0.5477951169013977
145926,2,1,2,0.4372778832912445,3,0.2677600383758545,False,0.7892272842499481,1.0,naverpay:saving:jbbank,JB 슈퍼씨드 적금,naverpay:saving:jbbank,0.3885195553302765,0.8653359760620479,0.8065339253729661,0.8112524775581699,0.8328858769597212,0.3885195553302765,0.2505853772163391,0.004805280361324549,0.0,0.392780601978302,0.0,0.2138945758342743,0.7494146227836609
