CASEID,true_risk_label_1_to_5,predicted_risk_label_1_to_5,predicted_risky_share,recommended_products,input_OCCAT1,input_OCCAT2,input_INDCAT,input_LF,input_HOUSECL,input_EDCL,input_EDUC,input_AGECL,input_LIFECL,input_FAMSTRUCT,input_KIDS,input_MARRIED,input_EXPENSHILO,input_WSAVED,input_SAVRES1,input_SAVRES2,input_SAVRES3,input_SAVRES4,input_SAVRES5,input_SAVRES6,input_SAVRES7,input_SAVRES8,input_SAVRES9,true_cash,pred_cash,true_bond,pred_bond,true_pension,pred_pension,true_equity,pred_equity
165546,1,1,0.007086667697876692,"JB 슈퍼씨드 적금 (cash, 33.88%); IBK부가세모으기통장 (cash, 33.07%); e-그린세이브예금 (cash, 33.05%); TIGER TDF2045 적격 (pension, 0.00%); KODEX 200 (equity, 0.00%)",2,3,2,1,2,1,5,5,5,3,0,2,2,2,0,0,0,0,0,0,1,0,0,1.0,0.999974250793457,0.0,1.1176147785008084e-09,0.0,2.5763858502614312e-05,0.0,1.4106789514300999e-08
176876,2,2,0.2444830685853958,"JB 슈퍼씨드 적금 (cash, 26.28%); IBK부가세모으기통장 (cash, 25.43%); KODEX 200미국채혼합 (bond, 0.01%); TIGER TDF2045 적격 (pension, 24.15%); KODEX TDF2050액티브 적격 (pension, 24.13%)",1,2,2,1,1,3,9,4,5,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0.5164835105633375,0.5170860290527344,0.0,0.00010316231055185199,0.4835164894366624,0.4827175438404083,0.0,9.318622323917225e-05
190931,3,2,0.3270198404788971,"JB 슈퍼씨드 적금 (cash, 20.39%); IBK부가세모으기통장 (cash, 19.66%); TIGER TDF2045 적격 (pension, 29.55%); KODEX TDF2050액티브 적격 (pension, 29.53%); KODEX 200 (equity, 0.87%)",1,2,2,1,1,4,12,1,3,4,2,1,3,3,0,0,0,0,0,0,1,0,0,0.3974908040739761,0.4004034698009491,0.0,0.00019808740762528032,0.6025091959260239,0.5907347202301025,0.0,0.00866366270929575
236386,4,3,0.3670082688331604,"JB 슈퍼씨드 적금 (cash, 29.41%); TIGER TDF2045 적격 (pension, 23.33%); KODEX TDF2050액티브 적격 (pension, 23.31%); RISE TDF2050액티브 적격 (pension, 23.31%); KODEX 200 (equity, 0.65%)",1,2,2,1,1,4,12,2,3,4,3,1,3,2,0,1,0,0,0,0,0,0,0,0.3137614678899083,0.2940242886543274,0.0,0.00018943929171655327,0.6862385321100918,0.6993237733840942,0.0,0.006462541874498129
222331,5,3,0.3978906273841858,"JB 슈퍼씨드 적금 (cash, 19.66%); TIGER TDF2045 적격 (pension, 20.11%); KODEX TDF2050액티브 적격 (pension, 20.10%); RISE TDF2050액티브 적격 (pension, 20.09%); KODEX TDF2060액티브 적격 (pension, 20.04%)",1,3,1,1,1,3,10,2,2,5,0,1,1,3,0,0,0,0,0,1,0,0,0,0.17212724376344615,0.19656774401664734,0.0,1.7104268408729695e-05,0.8278727562365539,0.8030509948730469,0.0,0.0003641882794909179
